"timestamp","actual_azimuth","actual_elevation","commanded_azimuth","commanded_elevation"
"2024-03-26T02:18:26.000000+00:00","116.358","20.522","116.364","20.522"
"2024-03-26T02:18:27.000000+00:00","116.358","20.522","116.364","20.522"
"2024-03-26T02:18:28.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:18:29.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:18:30.000000+00:00","116.366","20.522","116.364","20.522"
"2024-03-26T02:18:31.000000+00:00","116.352","20.522","116.364","20.522"
"2024-03-26T02:18:32.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:33.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:18:34.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:18:35.000000+00:00","116.366","20.522","116.364","20.522"
"2024-03-26T02:18:36.000000+00:00","116.366","20.522","116.364","20.522"
"2024-03-26T02:18:37.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:18:38.000000+00:00","116.364","20.523","116.364","20.522"
"2024-03-26T02:18:39.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:40.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:41.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:18:42.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:43.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:44.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:45.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:46.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:47.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:18:48.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:49.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:50.000000+00:00","116.364","20.522","116.364","20.522"
