"power","timestamp_float","timestamp_dt","elevation","azimuth"
"-49.67","1707262784.078122","2024-02-06T18:39:44.078122+00:00","",""
"-49.67","1707262784.217776","2024-02-06T18:39:44.217776+00:00","",""
"-49.67","1707262784.368874","2024-02-06T18:39:44.368874+00:00","",""
"-49.67","1707262784.513448","2024-02-06T18:39:44.513448+00:00","",""
"-49.67","1707262784.655601","2024-02-06T18:39:44.655601+00:00","",""
"-49.67","1707262784.799352","2024-02-06T18:39:44.799352+00:00","",""
"-49.67","1707262784.94349","2024-02-06T18:39:44.943490+00:00","",""
"-49.67","1707262785.090442","2024-02-06T18:39:45.090442+00:00","",""
"-49.67","1707262785.231873","2024-02-06T18:39:45.231873+00:00","",""
"-49.67","1707262785.376726","2024-02-06T18:39:45.376726+00:00","",""
"-49.67","1707262785.52868","2024-02-06T18:39:45.528680+00:00","",""
"-49.67","1707262785.66762","2024-02-06T18:39:45.667620+00:00","",""
"-49.67","1707262785.814449","2024-02-06T18:39:45.814449+00:00","",""
"-49.67","1707262785.955037","2024-02-06T18:39:45.955037+00:00","",""
"-49.67","1707262786.105524","2024-02-06T18:39:46.105524+00:00","",""
"-49.67","1707262786.250205","2024-02-06T18:39:46.250205+00:00","",""
"-49.67","1707262786.397872","2024-02-06T18:39:46.397872+00:00","",""
"-49.67","1707262786.541377","2024-02-06T18:39:46.541377+00:00","",""
"-49.67","1707262786.679808","2024-02-06T18:39:46.679808+00:00","",""
"-49.67","1707262786.824238","2024-02-06T18:39:46.824238+00:00","",""
"-49.67","1707262786.970906","2024-02-06T18:39:46.970906+00:00","",""
"-49.67","1707262787.114696","2024-02-06T18:39:47.114696+00:00","",""
"-49.67","1707262787.263819","2024-02-06T18:39:47.263819+00:00","",""
"-49.67","1707262787.406059","2024-02-06T18:39:47.406059+00:00","",""
"-49.67","1707262787.557685","2024-02-06T18:39:47.557685+00:00","",""
"-49.67","1707262787.697676","2024-02-06T18:39:47.697676+00:00","",""
"-49.67","1707262787.839164","2024-02-06T18:39:47.839164+00:00","",""
"-49.67","1707262787.988202","2024-02-06T18:39:47.988202+00:00","",""
"-49.67","1707262788.129808","2024-02-06T18:39:48.129808+00:00","",""
"-49.67","1707262788.27875","2024-02-06T18:39:48.278750+00:00","",""
"-49.67","1707262788.42472","2024-02-06T18:39:48.424720+00:00","",""
"-49.67","1707262788.562914","2024-02-06T18:39:48.562914+00:00","",""
"-49.66","1707262788.71602","2024-02-06T18:39:48.716020+00:00","",""
"-49.66","1707262788.857772","2024-02-06T18:39:48.857772+00:00","",""
"-49.66","1707262789.003674","2024-02-06T18:39:49.003674+00:00","",""
"-49.66","1707262789.150795","2024-02-06T18:39:49.150795+00:00","",""
"-49.66","1707262789.29504","2024-02-06T18:39:49.295040+00:00","",""
"-49.66","1707262789.438552","2024-02-06T18:39:49.438552+00:00","",""
"-49.66","1707262789.580386","2024-02-06T18:39:49.580386+00:00","",""
"-49.66","1707262789.721448","2024-02-06T18:39:49.721448+00:00","",""
"-49.66","1707262789.866689","2024-02-06T18:39:49.866689+00:00","",""
"-49.66","1707262790.010113","2024-02-06T18:39:50.010113+00:00","",""
"-49.66","1707262790.154546","2024-02-06T18:39:50.154546+00:00","",""
"-49.65","1707262790.304799","2024-02-06T18:39:50.304799+00:00","",""
"-49.65","1707262790.451338","2024-02-06T18:39:50.451338+00:00","",""
"-49.65","1707262790.58945","2024-02-06T18:39:50.589450+00:00","",""
"-49.65","1707262790.73783","2024-02-06T18:39:50.737830+00:00","",""
"-49.65","1707262790.885107","2024-02-06T18:39:50.885107+00:00","",""
"-49.65","1707262791.030036","2024-02-06T18:39:51.030036+00:00","",""
"-49.65","1707262791.176094","2024-02-06T18:39:51.176094+00:00","",""
"-49.65","1707262791.321435","2024-02-06T18:39:51.321435+00:00","",""
"-49.65","1707262791.458772","2024-02-06T18:39:51.458772+00:00","",""
"-49.65","1707262791.611394","2024-02-06T18:39:51.611394+00:00","",""
"-49.65","1707262791.748818","2024-02-06T18:39:51.748818+00:00","",""
"-49.65","1707262791.89715","2024-02-06T18:39:51.897150+00:00","",""
"-49.65","1707262792.041557","2024-02-06T18:39:52.041557+00:00","",""
"-49.65","1707262792.19116","2024-02-06T18:39:52.191160+00:00","",""
"-49.65","1707262792.335817","2024-02-06T18:39:52.335817+00:00","",""
"-49.65","1707262792.47695","2024-02-06T18:39:52.476950+00:00","",""
"-49.65","1707262792.617737","2024-02-06T18:39:52.617737+00:00","",""
"-49.65","1707262792.764299","2024-02-06T18:39:52.764299+00:00","",""
"-49.65","1707262792.906612","2024-02-06T18:39:52.906612+00:00","",""
"-49.65","1707262793.057025","2024-02-06T18:39:53.057025+00:00","",""
"-49.65","1707262793.200309","2024-02-06T18:39:53.200309+00:00","",""
"-49.65","1707262793.348918","2024-02-06T18:39:53.348918+00:00","",""
"-49.64","1707262793.493926","2024-02-06T18:39:53.493926+00:00","",""
"-49.64","1707262793.638117","2024-02-06T18:39:53.638117+00:00","",""
"-49.64","1707262793.782576","2024-02-06T18:39:53.782576+00:00","",""
"-49.64","1707262793.927205","2024-02-06T18:39:53.927205+00:00","",""
"-49.64","1707262794.072979","2024-02-06T18:39:54.072979+00:00","",""
"-49.64","1707262794.216898","2024-02-06T18:39:54.216898+00:00","",""
"-49.64","1707262794.358021","2024-02-06T18:39:54.358021+00:00","",""
